# Distance(a.u.)   Energy(Hartree)
5.000000000000000000e-01 -5.086226550337957786e-01
5.423728813559322015e-01 -6.185481598977968787e-01
5.847457627118644030e-01 -7.338796764023817198e-01
6.271186440677966045e-01 -8.004072743654861988e-01
6.694915254237288060e-01 -8.727151842398036541e-01
7.118644067796610075e-01 -9.312475585006237955e-01
7.542372881355932090e-01 -9.805575835159688891e-01
7.966101694915254106e-01 -1.007877382439831271e+00
8.389830508474576121e-01 -1.035828434153763133e+00
8.813559322033898136e-01 -1.056657278213232409e+00
9.237288135593220151e-01 -1.076688300924332431e+00
9.661016949152542166e-01 -1.095714897924418452e+00
1.008474576271186418e+00 -1.120120734939153095e+00
1.050847457627118509e+00 -1.116703589104805605e+00
1.093220338983050821e+00 -1.127709231714247640e+00
1.135593220338983134e+00 -1.122881128363813374e+00
1.177966101694915224e+00 -1.127840601474280113e+00
1.220338983050847315e+00 -1.140225391468960181e+00
1.262711864406779627e+00 -1.146693566700843103e+00
1.305084745762711940e+00 -1.146535270148416163e+00
1.347457627118644030e+00 -1.142067872286992802e+00
1.389830508474576121e+00 -1.134027974071184941e+00
1.432203389830508433e+00 -1.144889074228860881e+00
1.474576271186440746e+00 -1.145180040355805229e+00
1.516949152542372836e+00 -1.141067851604608441e+00
1.559322033898304927e+00 -1.128611247317009347e+00
1.601694915254237239e+00 -1.140148089060991632e+00
1.644067796610169552e+00 -1.132259607379733746e+00
1.686440677966101642e+00 -1.133766351532913275e+00
1.728813559322033733e+00 -1.134059735774919142e+00
1.771186440677966045e+00 -1.125354605608573699e+00
1.813559322033898358e+00 -1.117841063863650453e+00
1.855932203389830448e+00 -1.120985420982940628e+00
1.898305084745762539e+00 -1.125566218098482896e+00
1.940677966101694851e+00 -1.106701816044525222e+00
1.983050847457627164e+00 -1.109184194422153880e+00
2.025423728813559254e+00 -1.095451109705628978e+00
2.067796610169491345e+00 -1.097471367877978388e+00
2.110169491525423879e+00 -1.101563996633690978e+00
2.152542372881355970e+00 -1.098885768415463371e+00
2.194915254237288060e+00 -1.090998743358106093e+00
2.237288135593220151e+00 -1.084867167071301486e+00
2.279661016949152241e+00 -1.083030033873372489e+00
2.322033898305084776e+00 -1.075487845073612503e+00
2.364406779661016866e+00 -1.077115833577902748e+00
2.406779661016948957e+00 -1.077890964461531098e+00
2.449152542372881491e+00 -1.071113403881062132e+00
2.491525423728813582e+00 -1.067924053636131854e+00
2.533898305084745672e+00 -1.071683579340785508e+00
2.576271186440677763e+00 -1.067635704665168328e+00
2.618644067796609853e+00 -1.061299123599004357e+00
2.661016949152542388e+00 -1.059129376347467399e+00
2.703389830508474478e+00 -1.058052463080687344e+00
2.745762711864406569e+00 -1.056401441787907958e+00
2.788135593220339103e+00 -1.054340251010484453e+00
2.830508474576271194e+00 -1.047444716222160954e+00
2.872881355932203284e+00 -1.042875621454342649e+00
2.915254237288135375e+00 -1.053242944072256160e+00
2.957627118644067465e+00 -1.045140365752013523e+00
3.000000000000000000e+00 -1.039974682684591256e+00
