# Distance    Theta1    Theta2    Theta3
5.000000000000000000e-01 1.665448550842149045e+00 1.554159864029095228e+00 9.346767724517175413e-01
5.423728813559322015e-01 1.814328234545346641e+00 1.510396282848999183e+00 9.754665541697720155e-01
5.847457627118644030e-01 1.538486502930309197e+00 1.045074326779457774e+00 7.584475622825173069e-01
6.271186440677966045e-01 1.548609974367082698e+00 1.413206889665776567e+00 8.246544857610127455e-01
6.694915254237288060e-01 1.549266418930790756e+00 8.530907371002089956e-01 1.487928560307125947e+00
7.118644067796610075e-01 1.492668213087872564e+00 9.505956218396527380e-01 7.042855814424534566e-01
7.542372881355932090e-01 1.561130843758342435e+00 7.743088252900404145e-01 8.191498027883615807e-01
7.966101694915254106e-01 1.424094650781005278e+00 7.182242316512904567e-01 1.153229437747563146e+00
8.389830508474576121e-01 1.470350846903901054e+00 7.920892588565189296e-01 1.317717434702824875e+00
8.813559322033898136e-01 1.447794868825233561e+00 7.527872234604937596e-01 1.535204523218842043e+00
9.237288135593220151e-01 1.398355411932159287e+00 1.010348130286971680e+00 1.193184531925946867e+00
9.661016949152542166e-01 1.369005483613099594e+00 7.243449033708682094e-01 1.548413944879189597e+00
1.008474576271186418e+00 1.362763438884245337e+00 7.676122318169898984e-01 1.765937524793648183e+00
1.050847457627118509e+00 1.311685497352252039e+00 8.229896835907419828e-01 9.161666283172725800e-01
1.093220338983050821e+00 1.268492457100016457e+00 7.978198729779421017e-01 2.185133581671605540e+00
1.135593220338983134e+00 1.312687723597462330e+00 1.091566341884055991e+00 8.236187460131028093e-01
1.177966101694915224e+00 1.265675742363636447e+00 1.239851910597711715e+00 8.768738912612623615e-01
1.220338983050847315e+00 1.223169701351669802e+00 9.437368803384489357e-01 9.647165348276831587e-01
1.262711864406779627e+00 1.274864204655433930e+00 9.322454861779735369e-01 1.376566233274334028e+00
1.305084745762711940e+00 1.218917635991604298e+00 7.225504925493895225e-01 9.156644488653883363e-01
1.347457627118644030e+00 1.174826860248701088e+00 1.364595549947411834e+00 1.059961397522444448e+00
1.389830508474576121e+00 1.220747701204118352e+00 1.210377104139845894e+00 9.680179033355134077e-01
1.432203389830508433e+00 1.210096140417718402e+00 8.139834933849540155e-01 1.016414851461839186e+00
1.474576271186440746e+00 1.121413556226292352e+00 7.932594257779215230e-01 1.050181814584528306e+00
1.516949152542372836e+00 1.190999396081333872e+00 8.345679833882916343e-01 7.428123613747250609e-01
1.559322033898304927e+00 1.172322066117924111e+00 1.576919239539855244e+00 1.821879319923985774e+00
1.601694915254237239e+00 1.151374070445971176e+00 8.009217876132868064e-01 1.512245134501846833e+00
1.644067796610169552e+00 1.147178069728778338e+00 7.334728857750945075e-01 7.555025295427491017e-01
1.686440677966101642e+00 1.136457587072906117e+00 8.924148567167178303e-01 7.120345504637590750e-01
1.728813559322033733e+00 1.135619836032984331e+00 7.234589400796683778e-01 1.614038912129001968e+00
1.771186440677966045e+00 1.106924675552903636e+00 7.034107731198436797e-01 9.656324672750639104e-01
1.813559322033898358e+00 1.129776646396424278e+00 1.073324053701737890e+00 8.648602441161252763e-01
