# Distance(a.u.)   Energy(Hartree)   Energy_Error(Hartree)
5.000000000000000000e-01 -4.881476121834812942e-01 2.112242398747920386e-02
5.423728813559322015e-01 -6.787002515329830787e-01 2.667951611093078573e-02
5.847457627118644030e-01 -7.032943061224680159e-01 2.733039830782899027e-02
6.271186440677966045e-01 -7.944590104930328023e-01 2.545217470563060358e-02
6.694915254237288060e-01 -8.367956528258054805e-01 3.988229443453772394e-02
7.118644067796610075e-01 -8.508639922269470857e-01 3.081064523220455875e-02
7.542372881355932090e-01 -9.601646625404048896e-01 2.087442058538360387e-02
7.966101694915254106e-01 -9.630363968050680290e-01 2.852762768407010943e-02
8.389830508474576121e-01 -1.030451247270489645e+00 2.660138784585930338e-02
8.813559322033898136e-01 -1.024343799598268268e+00 3.344379162971167219e-02
9.237288135593220151e-01 -1.069258933613540075e+00 3.639961902478092842e-02
9.661016949152542166e-01 -1.100580080357053347e+00 2.635106785429910947e-02
1.008474576271186418e+00 -1.079959592277578873e+00 1.999303368993944618e-02
1.050847457627118509e+00 -1.096289597754035228e+00 3.689749585280657773e-02
1.093220338983050821e+00 -1.175518804625259373e+00 1.977182686093449313e-02
1.135593220338983134e+00 -1.107732092184843253e+00 2.219984240781085194e-02
1.177966101694915224e+00 -1.108949489896430718e+00 2.219984240781085194e-02
1.220338983050847315e+00 -1.113749887126629590e+00 2.874063111165311990e-02
1.262711864406779627e+00 -1.155951592690964258e+00 2.416492728200917220e-02
1.305084745762711940e+00 -1.134549486531174267e+00 1.788693303979290924e-02
1.347457627118644030e+00 -1.145139575837516466e+00 2.527523822218664604e-02
1.389830508474576121e+00 -1.145333955837039008e+00 2.582286132286946284e-02
1.432203389830508433e+00 -1.146412906360603001e+00 1.565086305504473363e-02
1.474576271186440746e+00 -1.155888568253561788e+00 2.338828735934277842e-02
1.516949152542372836e+00 -1.143604390656279612e+00 1.173985476806244446e-02
1.559322033898304927e+00 -1.128248889097239305e+00 1.974360508719603946e-02
1.601694915254237239e+00 -1.122294422542053027e+00 1.189846210031942492e-02
1.644067796610169552e+00 -1.113126357755525264e+00 8.779823813146046124e-03
1.686440677966101642e+00 -1.129511562530487012e+00 2.351936387367499492e-02
1.728813559322033733e+00 -1.131742009075721311e+00 1.291627640961473533e-02
1.771186440677966045e+00 -1.119405822222130364e+00 2.056092835174087863e-02
1.813559322033898358e+00 -1.133371791883460489e+00 2.219984240781085194e-02
1.855932203389830448e+00 -1.123328781266644372e+00 1.097712342903845069e-02
1.898305084745762539e+00 -1.125761825566911734e+00 1.572414179326227235e-02
1.940677966101694851e+00 -1.113773104380740619e+00 9.254879924455226489e-03
1.983050847457627164e+00 -1.121743835923568966e+00 1.043614521077055116e-02
2.025423728813559254e+00 -1.120697957417648771e+00 1.112008030864095748e-02
2.067796610169491345e+00 -1.092656739852569947e+00 1.140448052328716690e-02
2.110169491525423879e+00 -1.091528364780963045e+00 2.850475775407412468e-02
2.152542372881355970e+00 -1.082162848861093263e+00 9.369960545996015855e-03
2.194915254237288060e+00 -1.079459580452753364e+00 9.311490663834473894e-03
2.237288135593220151e+00 -1.083605553865256699e+00 1.068117899994072695e-02
2.279661016949152241e+00 -1.076706523442340746e+00 1.276482324336316795e-02
2.322033898305084776e+00 -1.091248186704098400e+00 7.598877682288394594e-03
2.364406779661016866e+00 -1.068261266027008771e+00 1.426480533562234608e-02
2.406779661016948957e+00 -1.075746299207826162e+00 7.979960923536921769e-03
2.449152542372881491e+00 -1.072085688925244806e+00 9.953126999469963029e-03
2.491525423728813582e+00 -1.072693347080754922e+00 4.520712779353430397e-03
2.533898305084745672e+00 -1.068702063853813167e+00 5.939919998397477641e-03
2.576271186440677763e+00 -1.081745657380249304e+00 5.920195361750904897e-03
2.618644067796609853e+00 -1.052690077905423571e+00 4.535540384881314550e-03
2.661016949152542388e+00 -1.054116267788799410e+00 1.207400472002102820e-02
2.703389830508474478e+00 -1.056574648851642095e+00 9.464482271599086727e-03
2.745762711864406569e+00 -1.047138306130437346e+00 2.219984240781085194e-02
2.788135593220339103e+00 -1.049256749281655798e+00 5.598943222666060392e-03
2.830508474576271194e+00 -1.044815357389396793e+00 1.882240521464475722e-02
2.872881355932203284e+00 -1.042501663985258675e+00 6.632830944898642986e-03
2.915254237288135375e+00 -1.040205476691206554e+00 7.276818934345020626e-03
2.957627118644067465e+00 -1.055728530458553305e+00 7.870854667030229707e-03
3.000000000000000000e+00 -1.049697445628057002e+00 4.238664367846585283e-03
