# Distance(a.u.)   Energy(Hartree)
5.000000000000000000e-01 -5.471435144204177536e-01
5.423728813559322015e-01 -6.339364105393898718e-01
5.847457627118644030e-01 -7.005660366737309630e-01
6.271186440677966045e-01 -7.882543014953474758e-01
6.694915254237288060e-01 -8.619949393889968503e-01
7.118644067796610075e-01 -9.215095223066935848e-01
7.542372881355932090e-01 -9.506693299771363792e-01
7.966101694915254106e-01 -9.852598670596910413e-01
8.389830508474576121e-01 -1.008732321735381854e+00
8.813559322033898136e-01 -1.046412999363719232e+00
9.237288135593220151e-01 -1.079289239079982421e+00
9.661016949152542166e-01 -1.085732040992221314e+00
1.008474576271186418e+00 -1.095982963602527560e+00
1.050847457627118509e+00 -1.110043879513225473e+00
1.093220338983050821e+00 -1.113356555738957976e+00
1.135593220338983134e+00 -1.127922687150310965e+00
1.177966101694915224e+00 -1.124921324335707240e+00
1.220338983050847315e+00 -1.132759236859058660e+00
1.262711864406779627e+00 -1.132323131209153733e+00
1.305084745762711940e+00 -1.145014046532386809e+00
1.347457627118644030e+00 -1.145648261009713842e+00
1.389830508474576121e+00 -1.142366350167181688e+00
1.432203389830508433e+00 -1.136988837483372095e+00
1.474576271186440746e+00 -1.146024558761454371e+00
1.516949152542372836e+00 -1.139739000303141347e+00
1.559322033898304927e+00 -1.142620098132345774e+00
1.601694915254237239e+00 -1.139133974722123632e+00
1.644067796610169552e+00 -1.123813341251398867e+00
1.686440677966101642e+00 -1.129660052886016119e+00
1.728813559322033733e+00 -1.128326575973478629e+00
1.771186440677966045e+00 -1.122463347264794242e+00
1.813559322033898358e+00 -1.129518854153189755e+00
1.855932203389830448e+00 -1.114126107443378144e+00
1.898305084745762539e+00 -1.120662847913174387e+00
1.940677966101694851e+00 -1.115579524367688702e+00
1.983050847457627164e+00 -1.110510654964493860e+00
2.025423728813559254e+00 -1.105957299624975354e+00
2.067796610169491345e+00 -1.100135129296177627e+00
2.110169491525423879e+00 -1.100708343236023623e+00
2.152542372881355970e+00 -1.092034916398526789e+00
2.194915254237288060e+00 -1.090347447027784078e+00
2.237288135593220151e+00 -1.088500520706191743e+00
2.279661016949152241e+00 -1.087306687012823181e+00
2.322033898305084776e+00 -1.084726927937461616e+00
2.364406779661016866e+00 -1.084772452543918408e+00
2.406779661016948957e+00 -1.081016586739524277e+00
2.449152542372881491e+00 -1.068072589144089646e+00
2.491525423728813582e+00 -1.074089920653905850e+00
2.533898305084745672e+00 -1.067691666828756603e+00
2.576271186440677763e+00 -1.065805378454601104e+00
2.618644067796609853e+00 -1.069566286137434874e+00
2.661016949152542388e+00 -1.061601745653747875e+00
2.703389830508474478e+00 -1.058695076549917680e+00
2.745762711864406569e+00 -1.057179459427098012e+00
2.788135593220339103e+00 -1.052291620192158383e+00
2.830508474576271194e+00 -1.057425932920228684e+00
2.872881355932203284e+00 -1.049424314883679044e+00
2.915254237288135375e+00 -1.047840315005661660e+00
2.957627118644067465e+00 -1.043833833821001811e+00
3.000000000000000000e+00 -1.042774972422658042e+00
