# Distance    Theta1    Theta2    Theta3
5.000000000000000000e-01 1.572616246691007857e+00 8.026402894098547680e-01 4.749372007434237708e-01
5.423728813559322015e-01 1.545361329211468737e+00 6.946023086113852774e-01 5.136492226820514873e-01
5.847457627118644030e-01 1.544971865527608346e+00 7.717094860041194826e-01 1.142403045409491558e+00
6.271186440677966045e-01 1.490259490772759099e+00 5.706145446326007509e-01 6.906717477843228314e-01
6.694915254237288060e-01 1.440244779776798989e+00 2.871522691769872182e-01 6.984733421182537372e-01
7.118644067796610075e-01 1.438415224105208390e+00 5.113271103292633679e-01 1.032447172684945347e+00
7.542372881355932090e-01 1.438046870956602552e+00 5.868148815186715606e-01 1.192009066452143662e+00
7.966101694915254106e-01 1.397461534382291148e+00 4.841916026914276361e-01 1.166946313881646935e+00
8.389830508474576121e-01 1.378280574927858382e+00 4.636002312296551575e-01 1.149472932889940680e+00
8.813559322033898136e-01 1.352444809536897719e+00 4.374275968400420100e-01 1.594528613995179089e+00
9.237288135593220151e-01 1.335585755207204572e+00 4.401375120413788533e-01 1.806343993323273667e+00
9.661016949152542166e-01 1.317668563566218864e+00 4.258378921740673673e-01 1.849684112904999012e+00
1.008474576271186418e+00 1.298127705629917417e+00 3.838789103196154073e-01 1.450667268578108571e+00
1.050847457627118509e+00 1.285902451538003755e+00 4.003723632680246114e-01 1.705014191609238061e+00
1.093220338983050821e+00 1.260363764886525795e+00 2.406451886260658202e-01 1.666986571908943393e+00
1.135593220338983134e+00 1.254587324057817366e+00 4.176801844035217814e-01 2.128733349494108751e+00
1.177966101694915224e+00 1.240747114053895261e+00 3.170794975924442483e-01 1.913566021455954669e+00
1.220338983050847315e+00 1.226859740163830370e+00 3.465045705455550018e-01 1.746928175885090528e+00
1.262711864406779627e+00 1.211056621189735116e+00 2.964336221872641008e-01 1.755156911412909304e+00
1.305084745762711940e+00 1.205270675921627843e+00 3.743899180429584028e-01 2.178765990599826452e+00
1.347457627118644030e+00 1.186956923388768459e+00 3.195798455755580192e-01 2.126019447403279194e+00
1.389830508474576121e+00 1.174483094996326304e+00 3.146411356490848577e-01 1.840954203515798415e+00
1.432203389830508433e+00 1.165327707299873561e+00 2.511842095109673711e-01 1.865264387344560681e+00
1.474576271186440746e+00 1.157192008959912588e+00 3.198454451551213107e-01 2.199624432362635496e+00
1.516949152542372836e+00 1.149334623044406811e+00 3.243942742190308315e-01 1.881151209303132399e+00
1.559322033898304927e+00 1.135987793719106520e+00 3.039326766973102778e-01 1.822232066992628852e+00
1.601694915254237239e+00 1.126464983607392556e+00 2.646168577026073443e-01 1.873862832379346255e+00
1.644067796610169552e+00 1.113055039532954371e+00 2.731392345179746162e-01 1.805537571967208876e+00
1.686440677966101642e+00 1.109950482754701984e+00 2.482292963487337245e-01 1.733236658059450708e+00
1.728813559322033733e+00 1.099063116090120751e+00 2.843580489266458455e-01 1.873039927481004785e+00
1.771186440677966045e+00 1.093998220704667901e+00 2.737514683059548704e-01 1.899525622072231412e+00
1.813559322033898358e+00 1.082989353369837593e+00 2.567969661153822192e-01 1.856109299621984787e+00
1.855932203389830448e+00 1.080064288970532749e+00 2.510457973206151605e-01 1.892150089787969724e+00
1.898305084745762539e+00 1.073693303189714010e+00 3.017991884137996572e-01 1.873035007480135405e+00
1.940677966101694851e+00 1.065757962529876757e+00 2.542118509220278599e-01 1.797191326212974394e+00
1.983050847457627164e+00 1.059870695760675607e+00 2.840354795042364655e-01 1.786390780711242021e+00
2.025423728813559254e+00 1.055428642613110535e+00 2.411320952393806727e-01 1.787536953011904295e+00
2.067796610169491345e+00 1.041770422057944900e+00 2.451990277461886247e-01 1.539965920802794930e+00
2.110169491525423879e+00 1.042632940582072232e+00 2.225824450377696939e-01 1.673188100576590287e+00
2.152542372881355970e+00 1.038716413597684518e+00 2.523255369655241775e-01 1.686086249900466738e+00
2.194915254237288060e+00 1.025503521116345462e+00 2.124066466090565597e-01 1.492728425568329742e+00
2.237288135593220151e+00 1.023753613309133170e+00 2.472834297647004131e-01 1.526413546932987364e+00
2.279661016949152241e+00 1.021829263216055494e+00 2.702529301228721592e-01 1.546037735649761213e+00
2.322033898305084776e+00 1.021970603192314364e+00 2.485405898437985650e-01 1.614538630138530717e+00
2.364406779661016866e+00 1.015754372483132606e+00 2.092326995404095724e-01 1.530903148751304732e+00
2.406779661016948957e+00 1.017495420856265653e+00 2.189686603335077864e-01 1.572570296173413817e+00
2.449152542372881491e+00 1.008841832723591292e+00 2.446633868278809409e-01 1.501207572541043200e+00
2.491525423728813582e+00 1.007551802334211599e+00 2.234053309906537110e-01 1.369436826254539330e+00
2.533898305084745672e+00 1.004963472494525556e+00 2.647775403105488978e-01 1.516656570917338520e+00
2.576271186440677763e+00 1.003510783130719730e+00 2.197898308243320387e-01 1.512927261404270807e+00
2.618644067796609853e+00 1.002783039141953658e+00 1.981387329970668576e-01 1.500530954863563249e+00
2.661016949152542388e+00 1.000353791950892246e+00 2.342087304800336278e-01 1.525704883820479196e+00
2.703389830508474478e+00 9.980111584183024576e-01 2.385347981033222597e-01 1.479515951181332056e+00
2.745762711864406569e+00 9.982780203519032725e-01 2.285690578649079985e-01 1.462905754148902782e+00
2.788135593220339103e+00 9.977755314627605454e-01 2.778262314284356549e-01 1.516630614979277869e+00
2.830508474576271194e+00 9.949631326049690472e-01 1.811696494259496248e-01 1.433877097576967907e+00
2.872881355932203284e+00 9.957960756681814019e-01 3.015116464174019684e-01 1.534080340378335849e+00
2.915254237288135375e+00 9.944980696483808336e-01 2.467195203549364946e-01 1.479763303403495378e+00
2.957627118644067465e+00 9.944323082205173137e-01 3.084045367821186545e-01 1.484678512101078374e+00
3.000000000000000000e+00 9.930460439473622891e-01 2.564213233892115307e-01 1.473056436523612511e+00
