# Distance    Theta1    Theta2    Theta3
5.000000000000000000e-01 1.654796335226572879e+00 9.753172220979056117e-01 1.399987014369962424e+00
5.423728813559322015e-01 1.545617581237495930e+00 5.465471260912950768e-01 7.689702899187180751e-01
5.847457627118644030e-01 1.518943537047719339e+00 6.702888176620620531e-01 6.766730990877682927e-01
6.271186440677966045e-01 1.489884022008902464e+00 5.817146952440825913e-01 7.600312535102879963e-01
6.694915254237288060e-01 1.466463706797673572e+00 5.869588447704869871e-01 9.082460568175295679e-01
7.118644067796610075e-01 1.444100174262415104e+00 5.331082788569742048e-01 1.046542887976832592e+00
7.542372881355932090e-01 1.419626893168630222e+00 5.193249770435538482e-01 1.193696594397607669e+00
7.966101694915254106e-01 1.387340847942826860e+00 4.628304949788827893e-01 1.228441451841853160e+00
8.389830508474576121e-01 1.372874236333836651e+00 4.607837022253653547e-01 1.510496807370807382e+00
8.813559322033898136e-01 1.352876304558853215e+00 4.554670370681949132e-01 1.713528700105475977e+00
9.237288135593220151e-01 1.335937217961012946e+00 4.793683560200540650e-01 1.585490160911724900e+00
9.661016949152542166e-01 1.314278066072915196e+00 4.224716428119047462e-01 1.519673502345866289e+00
1.008474576271186418e+00 1.300302766148361711e+00 4.057257600022208810e-01 1.795149549761615226e+00
1.050847457627118509e+00 1.283427042829684339e+00 4.156097704132614701e-01 1.906344951838337298e+00
1.093220338983050821e+00 1.272267301526083250e+00 3.770768064825248955e-01 1.597296713487822428e+00
1.135593220338983134e+00 1.258320166640493287e+00 3.611682821772452812e-01 1.583338081891361382e+00
1.177966101694915224e+00 1.240631775661225511e+00 3.764627205555837186e-01 2.284670540964566676e+00
1.220338983050847315e+00 1.223678225022465371e+00 3.779842277622818547e-01 1.723159330483185148e+00
1.262711864406779627e+00 1.211320366984208530e+00 3.279134987702209125e-01 2.285451246547846704e+00
1.305084745762711940e+00 1.196855937712370865e+00 3.092192700921510551e-01 1.834089672907889490e+00
1.347457627118644030e+00 1.188063175508018654e+00 3.590947399869033885e-01 1.837619863188538538e+00
1.389830508474576121e+00 1.177369865677563521e+00 2.622033085355213178e-01 1.835541402153445745e+00
1.432203389830508433e+00 1.171892963211809358e+00 3.340640950198002779e-01 2.294617816028631463e+00
1.474576271186440746e+00 1.154689023935267622e+00 3.055411495186645676e-01 1.797885640051431588e+00
1.516949152542372836e+00 1.144621308950437122e+00 2.850018984047307802e-01 1.820170801138325301e+00
1.559322033898304927e+00 1.135045338047929731e+00 3.280490563160180506e-01 1.848970324612042804e+00
1.601694915254237239e+00 1.126395219619074961e+00 2.748593952683681119e-01 1.902873834828711308e+00
1.644067796610169552e+00 1.116236691015560556e+00 2.600061394665115766e-01 1.883314083950639484e+00
1.686440677966101642e+00 1.106734543820333094e+00 2.643497999642791529e-01 1.693450337504700975e+00
1.728813559322033733e+00 1.105283621633590840e+00 2.718409654547977450e-01 2.010965560816763809e+00
1.771186440677966045e+00 1.091666207203826566e+00 2.265878415708106608e-01 1.753652694720589933e+00
1.813559322033898358e+00 1.084043488199980532e+00 2.592207350151407574e-01 1.728204500582112502e+00
1.855932203389830448e+00 1.077278848247657850e+00 2.571485033953974098e-01 1.760338924300628438e+00
1.898305084745762539e+00 1.071972613801802865e+00 2.852686375964896826e-01 1.744877494184795319e+00
1.940677966101694851e+00 1.069967828098301599e+00 2.063533283606461544e-01 1.768068238494504563e+00
1.983050847457627164e+00 1.047400806826620734e+00 2.784001369652696067e-01 1.477504058320709079e+00
2.025423728813559254e+00 1.044233395029340317e+00 2.943293157067308763e-01 1.549917470984105705e+00
2.067796610169491345e+00 1.051959903820205655e+00 3.189811336714635237e-01 1.765121090148658478e+00
2.110169491525423879e+00 1.037633291783978784e+00 2.970968950698559818e-01 1.599924552828057234e+00
2.152542372881355970e+00 1.034198856549131129e+00 1.895623750529648599e-01 1.530504755177604315e+00
2.194915254237288060e+00 1.024781158200994025e+00 2.330160401529239311e-01 1.543303803236864669e+00
2.237288135593220151e+00 1.024745974169322782e+00 2.421981128582547105e-01 1.470159758667456185e+00
2.279661016949152241e+00 1.024455357700322145e+00 2.202619788237291931e-01 1.572662766463508888e+00
2.322033898305084776e+00 1.016116695046852092e+00 2.434455288917928839e-01 1.561303996437692243e+00
2.364406779661016866e+00 1.014985550823473304e+00 2.796124726318962583e-01 1.536633550619976640e+00
2.406779661016948957e+00 1.015466804115396249e+00 2.149142348122259349e-01 1.551899258929270164e+00
2.449152542372881491e+00 1.008705438222077477e+00 1.917147084091972153e-01 1.501041840649886883e+00
2.491525423728813582e+00 1.009904388231730898e+00 2.762014858240373627e-01 1.599256648942223524e+00
2.533898305084745672e+00 1.005507372720282788e+00 2.332926629635491966e-01 1.476484437796705240e+00
2.576271186440677763e+00 1.003386546203240970e+00 2.345164573071370773e-01 1.505362542013051863e+00
2.618644067796609853e+00 1.002736364132746916e+00 2.899036203471311857e-01 1.548554755915183989e+00
2.661016949152542388e+00 1.001390710706798970e+00 2.300243197508818893e-01 1.521807258154682430e+00
2.703389830508474478e+00 1.001186947258989823e+00 3.104922811843934261e-01 1.475477627220060262e+00
2.745762711864406569e+00 9.967314881393964932e-01 2.084704996166603097e-01 1.478161743165674169e+00
2.788135593220339103e+00 9.962291299908045961e-01 2.110757036767191286e-01 1.471838221454688789e+00
2.830508474576271194e+00 9.961625083118769153e-01 1.753996313404152796e-01 1.418920033242880185e+00
2.872881355932203284e+00 9.957870262301480313e-01 2.896588944246174524e-01 1.459371449122927267e+00
2.915254237288135375e+00 9.938719772481643400e-01 2.827342384975105039e-01 1.450038758901138092e+00
2.957627118644067465e+00 9.921028305369152811e-01 2.647523829948960072e-01 1.455278360414048677e+00
3.000000000000000000e+00 9.927420844614730511e-01 2.819032315292960278e-01 1.442895838162238986e+00
